ts=20:14:33 | fn=TTI | prompt="dog running on a hill" | seed=1234 | cfg=13
ts=20:14:33 | fn=TTI | prompt="dog running on a hill" | seed=1234 | cfg=13
ts=20:14:39 | fn=TTI | prompt="dog running on a hill" | seed=1234 | cfg=13
ts=20:14:39 | fn=TTI | prompt="dog running on a hill" | seed=1234 | cfg=13
ts=20:14:40 | fn=TTI | prompt="dog running on a hill" | seed=1234 | cfg=13
ts=20:15:02 | fn=TTI | prompt="dog running on a hill" | seed=1234 | cfg=13
ts=20:15:03 | fn=TTI | prompt="dog running on a hill" | seed=1234 | cfg=13
ts=20:15:03 | fn=TTI | prompt="dog running on a hill" | seed=1234 | cfg=13
ts=20:15:04 | fn=TTI | prompt="dog running on a hill" | seed=1234 | cfg=13
ts=20:15:41 | fn=TTI | prompt="dog running on a hill" | seed=1029 | cfg=1
ts=20:15:47 | fn=TTI | prompt="dog running on a hill" | seed=1234 | cfg=13
ts=20:15:47 | fn=TTI | prompt="dog running on a hill" | seed=1234 | cfg=13
ts=20:15:48 | fn=TTI | prompt="dog running on a hill" | seed=1234 | cfg=13
ts=20:15:48 | fn=TTI | prompt="dog running on a hill" | seed=1234 | cfg=13
ts=20:15:49 | fn=TTI | prompt="dog running on a hill" | seed=1234 | cfg=13
ts=20:16:44 | fn=TTI | prompt="dog running on a hill" | seed=1029 | cfg=13
ts=20:16:44 | fn=TTI | prompt="dog running on a hill" | seed=1029 | cfg=17
ts=20:16:44 | fn=TTI | prompt="dog running on a hill" | seed=1029 | cfg=21
ts=20:16:44 | fn=TTI | prompt="dog running on a hill" | seed=1029 | cfg=9
ts=20:16:44 | fn=TTI | prompt="dog running on a hill" | seed=1029 | cfg=5
ts=20:17:35 | fn=TTI | prompt="dog running on a hill" | seed=1345 | cfg=1
ts=20:17:48 | fn=TTI | prompt="dog running on a hill" | seed=1345 | cfg=5
ts=20:17:48 | fn=TTI | prompt="dog running on a hill" | seed=1345 | cfg=13
ts=20:17:48 | fn=TTI | prompt="dog running on a hill" | seed=1345 | cfg=21
ts=20:17:48 | fn=TTI | prompt="dog running on a hill" | seed=1345 | cfg=17
ts=20:17:48 | fn=TTI | prompt="dog running on a hill" | seed=1345 | cfg=9
ts=20:18:44 | fn=TTI | prompt="dog running on a hill" | seed=1345 | cfg=1
ts=20:19:01 | fn=TTI | prompt="horse running on a field" | seed=1345 | cfg=1
ts=20:19:12 | fn=TTI | prompt="horse running on a field" | seed=1345 | cfg=5
ts=20:19:12 | fn=TTI | prompt="horse running on a field" | seed=1345 | cfg=9
ts=20:19:12 | fn=TTI | prompt="horse running on a field" | seed=1345 | cfg=21
ts=20:19:12 | fn=TTI | prompt="horse running on a field" | seed=1345 | cfg=13
ts=20:19:12 | fn=TTI | prompt="horse running on a field" | seed=1345 | cfg=17
ts=20:19:36 | fn=TTI | prompt="horse running on a field" | seed=1345 | cfg=1
ts=20:19:47 | fn=TTI | prompt="horse running on a field" | seed=1567 | cfg=1
ts=20:19:59 | fn=TTI | prompt="horse running on a field" | seed=1567 | cfg=5
ts=20:19:59 | fn=TTI | prompt="horse running on a field" | seed=1567 | cfg=21
ts=20:19:59 | fn=TTI | prompt="horse running on a field" | seed=1567 | cfg=13
ts=20:19:59 | fn=TTI | prompt="horse running on a field" | seed=1567 | cfg=9
ts=20:19:59 | fn=TTI | prompt="horse running on a field" | seed=1567 | cfg=17
ts=20:20:05 | fn=TTI | prompt="horse running on a field" | seed=4578 | cfg=1
ts=20:20:09 | fn=TTI | prompt="horse running on a field" | seed=4578 | cfg=13
ts=20:20:09 | fn=TTI | prompt="horse running on a field" | seed=4578 | cfg=17
ts=20:20:09 | fn=TTI | prompt="horse running on a field" | seed=4578 | cfg=9
ts=20:20:09 | fn=TTI | prompt="horse running on a field" | seed=4578 | cfg=5
ts=20:20:10 | fn=TTI | prompt="horse running on a field" | seed=4578 | cfg=21
ts=20:21:02 | fn=TTI | prompt="horse running on a field" | seed=4578 | cfg=1
ts=20:21:21 | fn=TTI | prompt="cat sleeping on a bed" | seed=7890 | cfg=1
ts=20:21:38 | fn=TTI | prompt="cat sleeping on a bed" | seed=7890 | cfg=9
ts=20:21:38 | fn=TTI | prompt="cat sleeping on a bed" | seed=7890 | cfg=5
ts=20:21:45 | fn=TTI | prompt="cat sleeping on a bed" | seed=7890 | cfg=17
ts=20:21:45 | fn=TTI | prompt="cat sleeping on a bed" | seed=7890 | cfg=13
ts=20:21:45 | fn=TTI | prompt="cat sleeping on a bed" | seed=7890 | cfg=21
ts=20:22:13 | fn=TTI | prompt="cat sleeping on a bed" | seed=3466 | cfg=1
ts=20:22:25 | fn=TTI | prompt="cat sleeping on a bed" | seed=3466 | cfg=13
ts=20:22:25 | fn=TTI | prompt="cat sleeping on a bed" | seed=3466 | cfg=5
ts=20:22:25 | fn=TTI | prompt="cat sleeping on a bed" | seed=3466 | cfg=9
ts=20:22:25 | fn=TTI | prompt="cat sleeping on a bed" | seed=3466 | cfg=21
ts=20:22:25 | fn=TTI | prompt="cat sleeping on a bed" | seed=3466 | cfg=17
ts=20:28:41 | fn=TTI | prompt="dogs running on a mountain" | seed=1234 | cfg=13
ts=20:28:53 | fn=TTI | prompt="dogs on a mountain" | seed=1234 | cfg=13
ts=20:30:37 | fn=TTI | prompt="deer on a mountain" | seed=1234 | cfg=13
ts=20:30:46 | fn=TTI | prompt="bear on a mountain" | seed=1234 | cfg=13
ts=20:30:56 | fn=TTI | prompt="bear on a valley" | seed=1234 | cfg=13
ts=20:30:56 | fn=TTI | prompt="bear on a ocean" | seed=1234 | cfg=13
ts=20:30:56 | fn=TTI | prompt="bear on a river" | seed=1234 | cfg=13
ts=20:31:04 | fn=TTI | prompt="bear on a forest" | seed=1234 | cfg=13
ts=20:40:13 | fn=TTI | prompt="People living in a deserted building with cracked windows and concrete walls" | seed=1234 | cfg=13
ts=20:42:40 | fn=TTI | prompt="People living in a deserted building with cracked windows and concrete walls" | seed=1234 | cfg=13
ts=20:42:43 | fn=TTI | prompt="People sleeping in a deserted building with cracked windows and concrete walls" | seed=1234 | cfg=13
ts=20:43:25 | fn=TTI | prompt="People sleeping in a deserted building with cracked windows and concrete walls" | seed=1234 | cfg=13
ts=20:43:28 | fn=TTI | prompt="People working in an old deserted office building " | seed=1234 | cfg=13
ts=20:44:12 | fn=TTI | prompt="People working in an old deserted office building " | seed=1234 | cfg=13
ts=20:44:15 | fn=TTI | prompt="People walking in a street with old deserted buildings and broken roads, where aliens also roam" | seed=1234 | cfg=13
ts=20:44:53 | fn=TTI | prompt="People walking in a street with old deserted buildings and broken roads, where aliens also roam" | seed=1234 | cfg=13
ts=20:45:03 | fn=TTI | prompt="People walking in a street with old deserted buildings and broken roads, where aliens also roam" | seed=1234 | cfg=13
ts=20:45:07 | fn=TTI | prompt="A street with old deserted buildings and broken roads, where aliens and people walk " | seed=1234 | cfg=13
ts=20:46:24 | fn=TTI | prompt="A street with old deserted buildings and broken roads, where aliens and people walk " | seed=1234 | cfg=13
ts=20:46:26 | fn=TTI | prompt="Aliens and humans walking on a cracked road with old buildings" | seed=1234 | cfg=13
ts=20:47:06 | fn=TTI | prompt="Aliens and humans walking on a cracked road with old buildings" | seed=1234 | cfg=13
ts=20:47:09 | fn=TTI | prompt="Aliens on a street" | seed=1234 | cfg=13
ts=20:47:33 | fn=TTI | prompt="Aliens on a street" | seed=1234 | cfg=13
