ts=11:16:57 | fn=TTI | prompt="dog running on a hill" | seed=1234 | cfg=25
ts=11:16:57 | fn=TTI | prompt="dog running on a hill" | seed=1234 | cfg=29
ts=11:16:57 | fn=TTI | prompt="dog running on a hill" | seed=1234 | cfg=33
ts=11:17:32 | fn=TTI | prompt="dog running on a hill" | seed=3333 | cfg=29
ts=11:17:32 | fn=TTI | prompt="dog running on a hill" | seed=2222 | cfg=33
ts=11:17:32 | fn=TTI | prompt="dog running on a hill" | seed=1111 | cfg=33
ts=11:17:32 | fn=TTI | prompt="dog running on a hill" | seed=5555 | cfg=25
ts=11:17:32 | fn=TTI | prompt="dog running on a hill" | seed=1111 | cfg=29
ts=11:17:32 | fn=TTI | prompt="dog running on a hill" | seed=5555 | cfg=33
ts=11:17:32 | fn=TTI | prompt="dog running on a hill" | seed=2222 | cfg=29
ts=11:17:32 | fn=TTI | prompt="dog running on a hill" | seed=5555 | cfg=29
ts=11:17:32 | fn=TTI | prompt="dog running on a hill" | seed=1111 | cfg=25
ts=11:17:32 | fn=TTI | prompt="dog running on a hill" | seed=4444 | cfg=33
ts=11:17:37 | fn=TTI | prompt="dog running on a hill" | seed=3333 | cfg=25
ts=11:17:37 | fn=TTI | prompt="dog running on a hill" | seed=3333 | cfg=33
ts=11:17:38 | fn=TTI | prompt="dog running on a hill" | seed=4444 | cfg=25
ts=11:17:38 | fn=TTI | prompt="dog running on a hill" | seed=4444 | cfg=29
ts=11:17:38 | fn=TTI | prompt="dog running on a hill" | seed=2222 | cfg=25
ts=11:18:28 | fn=TTI | prompt="human running on a hill" | seed=3333 | cfg=25
ts=11:18:28 | fn=TTI | prompt="human running on a hill" | seed=2222 | cfg=1
ts=11:18:28 | fn=TTI | prompt="human running on a hill" | seed=1111 | cfg=25
ts=11:18:28 | fn=TTI | prompt="human running on a hill" | seed=1111 | cfg=5
ts=11:18:28 | fn=TTI | prompt="human running on a hill" | seed=2222 | cfg=29
ts=11:18:28 | fn=TTI | prompt="human running on a hill" | seed=1111 | cfg=33
ts=11:18:28 | fn=TTI | prompt="human running on a hill" | seed=1234 | cfg=13
ts=11:18:28 | fn=TTI | prompt="human running on a hill" | seed=3333 | cfg=13
ts=11:18:28 | fn=TTI | prompt="human running on a hill" | seed=5555 | cfg=29
ts=11:18:28 | fn=TTI | prompt="human running on a hill" | seed=2222 | cfg=21
ts=11:18:33 | fn=TTI | prompt="human running on a hill" | seed=5555 | cfg=17
ts=11:18:34 | fn=TTI | prompt="human running on a hill" | seed=1234 | cfg=17
ts=11:18:34 | fn=TTI | prompt="human running on a hill" | seed=1234 | cfg=13
ts=11:18:34 | fn=TTI | prompt="human running on a hill" | seed=4444 | cfg=9
ts=11:18:34 | fn=TTI | prompt="human running on a hill" | seed=5555 | cfg=5
ts=11:18:39 | fn=TTI | prompt="human running on a hill" | seed=2222 | cfg=9
ts=11:18:39 | fn=TTI | prompt="human running on a hill" | seed=3333 | cfg=29
ts=11:18:44 | fn=TTI | prompt="human running on a hill" | seed=4444 | cfg=13
ts=11:18:45 | fn=TTI | prompt="human running on a hill" | seed=3333 | cfg=5
ts=11:18:48 | fn=TTI | prompt="human running on a hill" | seed=4444 | cfg=25
ts=11:18:48 | fn=TTI | prompt="human running on a hill" | seed=5555 | cfg=33
ts=11:18:49 | fn=TTI | prompt="human running on a hill" | seed=1111 | cfg=1
ts=11:18:49 | fn=TTI | prompt="human running on a hill" | seed=5555 | cfg=25
ts=11:18:49 | fn=TTI | prompt="human running on a hill" | seed=3333 | cfg=17
ts=11:18:50 | fn=TTI | prompt="human running on a hill" | seed=3333 | cfg=33
ts=11:18:53 | fn=TTI | prompt="human running on a hill" | seed=1234 | cfg=25
ts=11:18:54 | fn=TTI | prompt="human running on a hill" | seed=4444 | cfg=21
ts=11:18:54 | fn=TTI | prompt="human running on a hill" | seed=4444 | cfg=29
ts=11:18:54 | fn=TTI | prompt="human running on a hill" | seed=2222 | cfg=13
ts=11:18:54 | fn=TTI | prompt="human running on a hill" | seed=5555 | cfg=1
ts=11:18:56 | fn=TTI | prompt="human running on a hill" | seed=3333 | cfg=21
ts=11:18:59 | fn=TTI | prompt="human running on a hill" | seed=1111 | cfg=17
ts=11:19:00 | fn=TTI | prompt="human running on a hill" | seed=4444 | cfg=33
ts=11:19:02 | fn=TTI | prompt="human running on a hill" | seed=2222 | cfg=33
ts=11:19:02 | fn=TTI | prompt="human running on a hill" | seed=5555 | cfg=13
ts=11:19:03 | fn=TTI | prompt="human running on a hill" | seed=1234 | cfg=33
ts=11:19:04 | fn=TTI | prompt="human running on a hill" | seed=5555 | cfg=9
ts=11:19:06 | fn=TTI | prompt="human running on a hill" | seed=4444 | cfg=1
ts=11:19:08 | fn=TTI | prompt="human running on a hill" | seed=4444 | cfg=5
ts=11:19:08 | fn=TTI | prompt="human running on a hill" | seed=3333 | cfg=1
ts=11:19:11 | fn=TTI | prompt="human running on a hill" | seed=1234 | cfg=9
ts=11:19:12 | fn=TTI | prompt="human running on a hill" | seed=2222 | cfg=5
ts=11:19:13 | fn=TTI | prompt="human running on a hill" | seed=1234 | cfg=1
ts=11:19:17 | fn=TTI | prompt="human running on a hill" | seed=2222 | cfg=25
ts=11:19:20 | fn=TTI | prompt="human running on a hill" | seed=5555 | cfg=21
ts=11:19:21 | fn=TTI | prompt="human running on a hill" | seed=1111 | cfg=9
ts=11:19:21 | fn=TTI | prompt="human running on a hill" | seed=1234 | cfg=29
ts=11:19:22 | fn=TTI | prompt="human running on a hill" | seed=2222 | cfg=17
ts=11:19:24 | fn=TTI | prompt="human running on a hill" | seed=1234 | cfg=5
ts=11:19:25 | fn=TTI | prompt="human running on a hill" | seed=3333 | cfg=9
ts=11:19:26 | fn=TTI | prompt="human running on a hill" | seed=1111 | cfg=29
ts=11:19:26 | fn=TTI | prompt="human running on a hill" | seed=1111 | cfg=13
ts=11:19:28 | fn=TTI | prompt="human running on a hill" | seed=4444 | cfg=17
ts=11:19:29 | fn=TTI | prompt="human running on a hill" | seed=1234 | cfg=21
ts=11:19:29 | fn=TTI | prompt="human running on a hill" | seed=1111 | cfg=21
ts=11:20:00 | fn=TTI | prompt="human running on a house" | seed=1234 | cfg=13
ts=11:20:00 | fn=TTI | prompt="human running on a house" | seed=1234 | cfg=25
ts=11:20:00 | fn=TTI | prompt="human running on a house" | seed=2222 | cfg=21
ts=11:20:00 | fn=TTI | prompt="human running on a house" | seed=4444 | cfg=25
